"X","abv","ibu","id","name","style","brewery_id","ounces"
28,0.07,70,799,"21st Amendment IPA (2006)","IPA",368,12
29,0.07,70,797,"Brew Free! or Die IPA (2008)","IPA",368,12
30,0.07,70,796,"Brew Free! or Die IPA (2009)","IPA",368,12
32,0.097,94,432,"Hop Crisis","IPA",368,12
37,0.07,65,10,"Brew Free! or Die IPA","IPA",368,12
39,0.07,82,2519,"Bimini Twist","IPA",67,12
42,0.035,11,2545,"Passion Fruit Prussia","Weissbier",60,12
43,0.045,18,2544,"Send Help","Blonde Ale",60,12
51,0.05,45,2602,"Citrafest","IPA",27,16
53,0.069,65,2219,"Scarecrow","IPA",27,16
57,0.059,75,972,"Rude Parrot IPA","IPA",481,16
60,0.084,82,47,"Ballz Deep Double IPA","IPA",481,16
64,0.065,52,516,"Jockamo IPA","IPA",533,12
67,0.082,68,2540,"Citra Ass Down","IPA",62,16
68,0.05,20,2539,"The Brown Note","Brown Ale",62,16
69,0.08,68,2686,"Citra Ass Down","IPA",1,16
75,0.04,13,2680,"Sho'nuff","IPA",1,16
77,0.076,68,2678,"Rico Sauvin","IPA",1,16
80,0.06,65,2675,"Pile of Face","IPA",1,16
81,0.05,20,2674,"The Brown Note","Brown Ale",1,16
82,0.053,35,1594,"Maylani's Coconut Stout","Stout",367,16
87,0.082,103,2401,"Yellow Wolf Imperial IPA","IPA",117,12
95,0.062,43,837,"Desolation IPA","IPA",401,16
107,0.07,80,1327,"Hop Ottin' IPA","IPA",171,12
108,0.058,15,1326,"Boont Amber Ale","Red Ale",171,12
111,0.058,15,811,"Boont Amber Ale (2010)","Red Ale",171,12
115,0.07,80,367,"Hop Ottin' IPA (2011)","IPA",171,12
116,0.058,15,78,"Boont Amber Ale (2011)","Red Ale",171,12
128,0.071,75,2511,"Long Leaf","IPA",69,16
129,0.047,19,2510,"Honey Badger Blonde","Blonde Ale",69,16
130,0.06,23,2509,"Porter (a/k/a Black Gold Porter)","Porter",69,16
134,0.092,50,1333,"Quakertown Stout","Stout",426,12
137,0.07,45,1322,"Green Bullet Organic India Pale Ale","IPA",429,16
139,0.053,26,429,"Ninja Porter","Porter",528,12
140,0.06,69,428,"Shiva IPA","IPA",528,12
144,0.056,27,597,"This Season's Blonde","Blonde Ale",523,12
145,0.07,67,596,"Independence Pass Ale","IPA",523,12
146,0.057,40,1580,"Trolley Stop Stout","Stout",374,12
147,0.082,138,980,"Bitter Bitch Imperial IPA","IPA",374,12
148,0.062,35,979,"Poop Deck Porter","Porter",374,12
149,0.06,35,978,"Old Red Beard Amber Ale","Red Ale",374,12
150,0.075,115,2503,"Hop A-Peel","IPA",72,16
151,0.055,12,2502,"Vanilla Java Porter","Porter",72,16
153,0.045,8,534,"Dirty Blonde Ale","Blonde Ale",72,12
154,0.05,62,528,"Grand Circus IPA","IPA",72,12
165,0.063,69,107,"Avery India Pale Ale","IPA",37,12
166,0.055,17,106,"Ellie’s Brown Ale","Brown Ale",37,12
172,0.061,41,702,"Hot Rod Red","Red Ale",360,12
180,0.068,70,966,"Topcutter India Pale Ale","IPA",483,12
183,0.038,40,2105,"Even Keel","IPA",34,12
185,0.07,75,1400,"Big Eye India Pale Ale","IPA",34,12
187,0.07,70,1018,"Sculpin IPA","IPA",34,12
190,0.035,45,1643,"Banner American Ale","Red Ale",318,12
191,0.07,46,2618,"Thai.p.a","IPA",20,16
192,0.06,60,2005,"Barrio Blanco","IPA",251,12
195,0.067,60,2323,"Ultra Gnar Gnar IPA","IPA",116,12
200,0.067,70,1965,"Sky-Five","IPA",258,12
209,0.055,35,533,"Amber Road","Red Ale",292,12
211,0.069,69,182,"Stowaway IPA","IPA",292,12
212,0.088,108,1806,"Hoptopus Double IPA","IPA",306,16
215,0.068,85,2420,"Back Bay IPA","IPA",103,12
223,0.044,44,2558,"Moar","IPA",53,12
225,0.057,27,2556,"Nordic Blonde","Blonde Ale",53,12
227,0.072,87,2410,"Harness the Winter","IPA",75,12
229,0.062,68,1901,"Bent Hop Golden IPA","IPA",75,12
232,0.055,40,1900,"Lost Sailor IPA","IPA",278,12
240,0.095,104,1762,"Hemlock Double IPA","IPA",220,12
242,0.067,85,1067,"Disconnected Red","Red Ale",220,16
246,0.08,54,2639,"Dark Star","Stout",8,16
249,0.075,60,2585,"Galaxy IPA","IPA",40,16
250,0.05,32,643,"Big River Pilsner","Pilsener",519,12
251,0.06,55,632,"House Brand IPA","IPA",519,12
252,0.062,65,1714,"Big Sky IPA","IPA",336,12
255,0.051,26,1711,"Moose Drool Brown Ale","Brown Ale",336,12
257,0.051,26,767,"Moose Drool Brown Ale (2011)","Brown Ale",336,12
259,0.062,65,579,"Big Sky IPA (2012)","IPA",336,12
263,0.051,26,34,"Moose Drool Brown Ale (2009)","Brown Ale",336,12
264,0.069,81,2096,"Arcus IPA","IPA",221,12
265,0.058,38,2095,"Wavemaker","Red Ale",221,12
268,0.098,76,1255,"Bad Axe Imperial IPA","IPA",444,16
270,0.066,50,985,"Bark Bite IPA","IPA",444,16
276,0.045,16,2412,"Deception","Blonde Ale",112,12
277,0.075,35,1898,"Blackmarket Rye IPA","IPA",112,12
281,0.071,45,1849,"American Red Porter","Porter",294,12
283,0.066,44,1847,"Colorado Red Ale","Red Ale",294,12
284,0.048,16,2485,"Saddle Bronc Brown Ale","Brown Ale",79,12
285,0.046,20,2484,"Bomber Mountain Amber Ale","Red Ale",79,12
287,0.048,47,2634,"Nordskye ","IPA",12,12
291,0.07,51,1481,"51K IPA","IPA",12,12
309,0.08,80,1812,"Quarter Mile Double IPA","IPA",304,12
321,0.044,16,667,"Blue Point Summer Ale","Blonde Ale",489,12
331,0.042,30,1891,"Longhop IPA","IPA",281,16
335,0.066,72,2422,"Firestarter India Pale Ale","IPA",107,12
337,0.048,30,1614,"Wood Splitter Pilsner","Pilsener",107,16
339,0.07,94,1549,"Farmer Wirtz India Pale Ale","IPA",107,16
353,0.066,72,633,"Firestarter India Pale Ale","IPA",107,16
354,0.071,16,2062,"Noche Dulce","Porter",231,16
356,0.065,45,1629,"Rebel IPA","IPA",300,16
367,0.062,80,2596,"Heavy Lifting","IPA",31,12
371,0.06,52,2107,"Plum St. Porter","Porter",219,12
372,0.057,52,1573,"Plum St. Porter","Porter",219,12
373,0.07,80,1289,"Bozone HopZone IPA","IPA",219,12
376,0.052,40,2167,"Evil Owl","Red Ale",207,12
380,0.062,68,193,"Lucky U IPA","IPA",391,12
381,0.054,19,83,"Avalanche Ale","Red Ale",391,12
383,0.072,60,1801,"Last Stop IPA","IPA",308,12
384,0.05,21,1800,"Rollin Dirty Red Ale","Red Ale",308,12
453,0.05,15,921,"Northern Lights Amber Ale","Red Ale",493,12
456,0.061,64,648,"Fairweather IPA","IPA",493,12
457,0.068,47,1279,"East India Pale Ale","IPA",437,16
459,0.068,47,566,"East India Pale Ale","IPA",437,12
467,0.062,42,28,"Tule Duck Red Ale (Current)","Red Ale",530,16
472,0.06,40,2125,"1836","Blonde Ale",214,12
474,0.09,118,2123,"More Cowbell","IPA",214,16
479,0.099,115,2471,"Hopkick Dropkick","IPA",24,12
483,0.072,86,2158,"3:33 Black IPA","IPA",24,16
499,0.053,25,2214,"Horny Toad Cerveza","Blonde Ale",182,16
500,0.063,35,2213,"Native Amber","Red Ale",182,16
501,0.068,100,1442,"F5 IPA","IPA",182,16
502,0.063,35,170,"Native Amber (2013)","Red Ale",182,16
503,0.053,25,169,"Horny Toad Cerveza (2013)","Blonde Ale",182,16
504,0.068,100,2315,"Hopportunity Knocks IPA","IPA",155,12
508,0.054,24,794,"Ashland Amber Ale (2009)","Red Ale",155,12
509,0.061,94,793,"Caldera IPA (2009)","IPA",155,12
510,0.061,94,792,"Caldera IPA (2007)","IPA",155,12
516,0.054,24,37,"Ashland Amber Ale","Red Ale",155,12
517,0.061,94,36,"Caldera IPA","IPA",155,12
525,0.09,130,2067,"Dead-Eye DIPA","IPA",230,16
526,0.055,64,2066,"Fisherman's IPA","IPA",230,12
528,0.055,30,2064,"Fisherman's Brew","Red Ale",230,12
529,0.055,35,1928,"Cape Cod Red","Red Ale",267,16
530,0.049,10,1927,"Beach Blonde","Blonde Ale",267,16
534,0.056,55,1954,"Ghost Ship White IPA","IPA",192,12
536,0.062,70,1177,"Mutiny IPA","IPA",192,12
549,0.039,9,1941,"Monkey Chased the Weasel","Weissbier",222,16
550,0.078,80,1940,"077XX","IPA",222,16
551,0.042,35,1439,"Boat Beer","IPA",222,12
565,0.085,90,2600,"Gone A-Rye","IPA",29,16
567,0.068,70,2052,"Dankosaurus","IPA",29,16
578,0.072,85,1648,"Lucky Day IPA","IPA",350,16
579,0.095,99,1647,"Terrace Hill Double IPA","IPA",350,16
582,0.06,45,2056,"Black Me Stout","Stout",236,12
584,0.07,65,1933,"Missile IPA","IPA",236,12
591,0.057,58,2380,"IPA #11","IPA",121,16
594,0.089,126,2440,"Bay of Bengal Double IPA (2014)","IPA",99,12
599,0.062,65,2014,"Operation Homefront","IPA",141,12
605,0.07,60,1726,"Hopped on the High Seas (Hop #529)","IPA",141,12
606,0.07,60,1725,"Hopped on the High Seas (Calypso)","IPA",141,12
608,0.07,60,1694,"Dry-Hopped On The High Seas Caribbean-Style IPA","IPA",141,12
609,0.07,60,1693,"Hopped on the High Seas (Citra)","IPA",141,12
610,0.07,60,1692,"Hopped on the High Seas (Ahtanum)","IPA",141,12
613,0.075,70,1142,"Humidor Series India Pale Ale","IPA",141,12
614,0.075,70,1141,"Jai Alai IPA Aged on White Oak","IPA",141,12
615,0.08,65,1140,"José Martí American Porter","Porter",141,12
617,0.055,25,1138,"Maduro Brown Ale","Brown Ale",141,12
618,0.055,25,571,"Maduro Brown Ale","Brown Ale",141,12
620,0.072,75,569,"Tocobaga Red Ale","Red Ale",141,12
621,0.075,70,546,"Jai Alai IPA","IPA",141,12
630,0.067,60,1772,"Jacaranada Rye IPA","IPA",320,16
633,0.047,17,1407,"Tybee Island Blonde","Blonde Ale",415,12
634,0.062,55,1406,"Savannah Brown Ale","Brown Ale",415,12
636,0.065,75,2437,"Newport Storm IPA","IPA",101,12
637,0.052,24,751,"Hurricane Amber Ale (2004)","Red Ale",101,12
638,0.052,24,120,"Hurricane Amber Ale","Red Ale",101,12
640,0.068,75,970,"Des Moines IPA","IPA",482,16
642,0.056,21,968,"Farmer John's Multi-Grain Ale","Blonde Ale",482,16
659,0.052,25,356,"Crazy Mountain Amber Ale","Red Ale",63,12
660,0.065,65,2029,"Tropicalia","IPA",247,12
662,0.049,25,2293,"Aviator Raspberry Blonde","Blonde Ale",169,12
672,0.06,31,1057,"South Ridge Amber Ale","Red Ale",472,16
681,0.05,15,1809,"The Tradition","Blonde Ale",227,12
684,0.092,115,851,"On the Wings of Armageddon","IPA",227,12
685,0.065,80,186,"The Corruption","IPA",227,12
694,0.063,37,1746,"Dead Armadillo Amber Ale","Red Ale",330,12
696,0.075,33,2251,"Oak Cliff Coffee Ale","Brown Ale",127,12
697,0.085,100,2166,"Dream Crusher Double IPA","IPA",127,12
702,0.052,23,946,"Dallas Blonde","Blonde Ale",127,12
703,0.07,70,943,"Deep Ellum IPA","IPA",127,12
704,0.045,44,1886,"Thrasher Session India Pale Ale","IPA",283,12
707,0.056,46,1159,"Mother Ale","Blonde Ale",453,12
708,0.065,71,947,"Twister Creek India Pale Ale","IPA",453,12
709,0.058,46,929,"Single Engine Red","Red Ale",453,12
715,0.063,76,2025,"Vertex IPA","IPA",57,12
718,0.096,85,1888,"Hoperation Overload","IPA",57,12
722,0.054,27,924,"Deadicated Amber","Red Ale",491,16
724,0.071,85,730,"California Sunshine Rye IPA","IPA",491,16
727,0.065,72,1795,"Filthy Hoppin' IPA","IPA",311,16
737,0.066,100,881,"Hop Abomination","IPA",496,12
740,0.058,49,871,"Dry Dock Amber Ale","Red Ale",496,12
741,0.061,64,1685,"Category 3 IPA","IPA",340,12
744,0.078,74,1382,"Crank Yanker IPA","IPA",369,16
749,0.078,74,395,"Crank Yanker IPA (2011)","IPA",369,16
758,0.043,60,2292,"Little Sister India Style Session Ale","IPA",170,12
759,0.062,80,1504,"Country Boy IPA","IPA",170,12
760,0.049,23,2604,"Blonde Czich","Blonde Ale",26,16
761,0.07,61,2432,"White Reaper","IPA",26,16
765,0.054,48,1967,"General George Patton Pilsner","Pilsener",26,16
773,0.067,70,1434,"Wood Chipper India Pale Ale","IPA",335,12
775,0.07,80,2088,"Hop Stalker Fresh Hop IPA","IPA",224,16
776,0.07,58,1455,"Sudice American Stout","Stout",405,16
777,0.05,20,1454,"Parcae Belgian Style Pale Ale","IPA",405,16
780,0.07,70,1451,"Moirai India Pale Ale","IPA",405,16
781,0.075,53,2191,"Loki Red Ale","Red Ale",201,16
784,0.075,53,895,"Loki Red Ale (2013)","Red Ale",201,16
789,0.082,80,1929,"Second Fiddle","IPA",172,16
790,0.055,30,1858,"Hodad Porter","Porter",172,16
792,0.055,45,2590,"Czech Yo Self","Pilsener",36,12
799,0.08,72,935,"Fascist Pig Ale","Red Ale",256,16
804,0.045,47,2569,"Easy Jack","IPA",48,12
805,0.075,75,2463,"Union Jack","IPA",48,12
808,0.047,20,1733,"805","Blonde Ale",48,12
810,0.05,27,2284,"Hinchtown Hammer Down","Blonde Ale",16,16
811,0.06,104,1610,"Half Cycle IPA","IPA",16,16
814,0.071,60,608,"Snake Dog IPA","IPA",521,12
817,0.07,70,2566,"Flying Mouse 4","IPA",50,12
823,0.069,65,2110,"1916 Shore Shiver","IPA",217,12
835,0.074,97,318,"Vortex IPA","IPA",206,16
838,0.056,16,2660,"Westfalia","Red Ale",4,12
840,0.063,42,2658,"Villager","IPA",4,12
842,0.072,65,1565,"Centennial IPA","IPA",15,12
843,0.047,42,1223,"All Day IPA","IPA",15,12
844,0.076,73,1874,"El Chingon IPA","IPA",287,12
845,0.057,40,1873,"Block Party Robust Porter","Porter",287,12
846,0.052,20,1872,"Local Buzz","Blonde Ale",287,12
850,0.064,90,2610,"The Gadget","IPA",22,16
856,0.067,47,358,"Hop Knot IPA","IPA",160,12
864,0.069,69,1556,"Batch 69 IPA","IPA",253,12
867,0.065,33,2526,"Texicali ","Brown Ale",66,12
872,0.059,70,2521,"Soul Doubt","IPA",66,12
873,0.044,5,2520,"Yo Soy Un Berliner","Weissbier",66,12
880,0.065,80,857,"Interurban IPA","IPA",460,12
884,0.07,73,2254,"Salamander Slam","IPA",180,16
886,0.072,50,2077,"No Wake IPA","IPA",228,12
887,0.049,15,2076,"Boathouse Blonde","Blonde Ale",228,12
888,0.05,26,2075,"Cedar Point","Red Ale",228,12
889,0.067,70,2426,"Clean Shave IPA","IPA",106,12
892,0.074,74,1777,"2020 IPA","IPA",240,16
893,0.08,70,1698,"Wolf Among Weeds IPA","IPA",240,16
894,0.094,92,1641,"Better Weather IPA","IPA",240,16
895,0.059,60,1490,"Point the Way IPA","IPA",240,16
897,0.068,65,1399,"Heal the Bay IPA","IPA",240,16
898,0.059,60,1296,"Point the Way IPA","IPA",240,12
900,0.055,20,991,"Get Up Offa That Brown","Brown Ale",240,16
901,0.08,70,750,"Burning Bush Smoked IPA","IPA",240,16
902,0.08,70,749,"Wolf Among Weeds IPA (2012)","IPA",240,16
903,0.059,60,549,"Point the Way IPA (2012)","IPA",240,16
905,0.07,11,2587,"Vanilla Porter","Porter",39,16
906,0.07,70,1109,"Descender IPA","IPA",464,12
909,0.093,103,312,"Snake Handler Double IPA","IPA",478,12
911,0.06,64,309,"Good People IPA","IPA",478,12
912,0.058,36,308,"Good People American Brown Ale","Brown Ale",478,12
914,0.059,55,2198,"Goose Island India Pale Ale","IPA",196,12
926,0.049,21,2127,"Sir William's English Brown Ale","Brown Ale",213,12
928,0.053,22,2303,"Beer Agent Re-Ignition","Blonde Ale",165,16
930,0.056,33,1702,"Bourbon Barrel Aged Coconut Porter","Porter",165,16
931,0.062,60,1701,"Great Crescent IPA","IPA",165,16
933,0.053,22,1699,"Great Crescent Blonde Ale","Blonde Ale",165,16
934,0.056,33,1269,"Great Crescent Coconut Porter","Porter",165,16
936,0.045,36,649,"Great Crescent Brown Ale","Brown Ale",165,16
941,0.075,65,455,"Bourbon's Barrel Stout","Stout",165,16
942,0.08,66,442,"Great Crescent Stout","Stout",165,16
943,0.056,33,441,"Great Crescent Coconut Porter (2012)","Porter",165,16
946,0.062,60,436,"Great Crescent IPA (2011)","IPA",165,16
947,0.053,22,389,"Great Crescent Blonde Ale (2011)","Blonde Ale",165,16
954,0.095,75,2644,"Yeti  Imperial Stout","Stout",6,12
962,0.07,22,1574,"Barrel Aged Farmer","Brown Ale",365,16
966,0.05,30,1064,"Owney Irish Style Red Ale","Red Ale",365,16
969,0.054,30,864,"Roller Dam Red Ale","Red Ale",365,16
972,0.07,22,655,"Farmer Brown Ale","Brown Ale",365,16
973,0.07,70,540,"Big Cock IPA","IPA",365,16
975,0.048,25,517,"40th Annual Bix Street Fest Copper Ale (Current)","Red Ale",365,16
976,0.06,36,371,"Redband Stout","Stout",365,16
978,0.054,30,189,"Roller Dam Red Ale (2010)","Red Ale",365,16
983,0.085,69,2044,"Captain's Daughter","IPA",86,12
988,0.06,34,984,"Leaning Chimney Smoked Porter","Porter",379,16
994,0.05,35,2141,"Grand Trunk Bohemian Pils","Pilsener",124,16
995,0.065,25,2140,"El Rojo","Red Ale",124,16
998,0.04,55,2007,"Norm's Gateway IPA","IPA",124,12
1001,0.069,67,1857,"Supergoose IPA","IPA",290,12
1011,0.07,40,2026,"Pursuit","IPA",248,12
1012,0.052,18,1361,"Half Full Bright Ale","Blonde Ale",248,12
1015,0.075,70,1677,"The Great Return","IPA",343,16
1022,0.059,42,1379,"Harpoon IPA","IPA",234,12
1025,0.059,42,770,"Harpoon IPA (2012)","IPA",234,12
1029,0.059,42,126,"Harpoon IPA (2010)","IPA",234,12
1037,0.076,65,1895,"Groupe G","IPA",280,16
1039,0.088,77,1893,"Hill 88 Double IPA","IPA",280,16
1040,0.072,45,990,"Loose Cannon","IPA",479,12
1044,0.08,86,1346,"Habitus IPA","IPA",423,16
1045,0.099,85,904,"Ex Umbris Rye Imperial Stout","Stout",423,16
1052,0.055,34,889,"Hilliard's Pils","Pilsener",362,16
1053,0.049,20,724,"Hilliard's Blonde","Blonde Ale",362,16
1054,0.055,60,497,"Hilliard's Amber Ale","Red Ale",362,16
1058,0.047,28,1834,"One Nut Brown","Brown Ale",297,12
1059,0.058,45,1833,"Hop Farm IPA","IPA",297,12
1060,0.049,20,2195,"Double D Blonde","Blonde Ale",198,12
1062,0.063,70,1543,"Proxima IPA","IPA",198,12
1063,0.049,20,1390,"Double D Blonde (2013)","Blonde Ale",198,12
1065,0.065,90,1353,"Alphadelic IPA","IPA",198,12
1066,0.065,90,499,"Alphadelic IPA (2011)","IPA",198,12
1067,0.049,20,498,"Double D Blonde (2011)","Blonde Ale",198,12
1087,0.058,60,2388,"Rise Up Red","Red Ale",80,16
1088,0.058,35,2200,"Survival Stout","Stout",80,16
1089,0.066,75,2199,"Hopworks IPA","IPA",80,16
1092,0.058,60,1085,"Rise-Up Red (2014)","Red Ale",80,16
1094,0.051,32,658,"HUB Lager","Pilsener",80,16
1095,0.066,75,653,"Hopworks IPA (2012)","IPA",80,16
1101,0.068,90,1903,"Let It Ride IPA","IPA",277,12
1107,0.048,32,2350,"Oklahoma Suks","Red Ale",140,12
1111,0.07,75,2038,"Infamous IPA","IPA",242,12
1113,0.045,20,559,"Jon Boat Coastal Ale","Blonde Ale",527,12
1114,0.068,55,558,"I-10 IPA","IPA",527,12
1140,0.093,90,468,"Hop Box Imperial IPA","IPA",233,12
1150,0.095,85,666,"Rodeo Clown Double IPA","IPA",125,12
1153,0.066,70,463,"Hopadillo India Pale Ale","IPA",125,12
1155,0.06,64,1572,"KelSo India Pale Ale","IPA",342,12
1156,0.055,23,1348,"KelSo Pilsner","Pilsener",342,12
1158,0.05,15,1187,"Peninsula Brewers Reserve (PBR)","Blonde Ale",458,12
1162,0.065,65,759,"Double Haul IPA (2009)","IPA",510,16
1163,0.065,65,758,"Double Haul IPA (2006)","IPA",510,16
1165,0.065,65,86,"Double Haul IPA","IPA",510,16
1176,0.06,70,1667,"King Street IPA","IPA",102,12
1179,0.063,65,2460,"India Pale Ale","IPA",87,16
1188,0.072,100,664,"Elevated IPA","IPA",332,16
1197,0.064,66,1396,"Laughing Dog IPA","IPA",218,12
1198,0.064,95,1675,"Madra Allta","IPA",345,12
1199,0.056,70,1249,"Duluchan India Pale Ale","IPA",345,12
1208,0.058,40,1832,"Adam's Stout","Stout",298,12
1209,0.057,42,1688,"American Hero","Red Ale",298,12
1211,0.065,75,1686,"Irregardless IPA","IPA",298,12
1217,0.061,30,2326,"Sweet Josie","Brown Ale",149,12
1218,0.059,42,1926,"Long Trail IPA","IPA",268,12
1219,0.046,30,1924,"Long Trail Ale","Red Ale",268,12
1227,0.062,65,1309,"Face Plant IPA","IPA",430,12
1228,0.056,55,1308,"Rhino Chasers Pilsner","Pilsener",430,12
1229,0.052,29,1571,"Slow Hand Stout","Stout",377,16
1234,0.051,31,2032,"Ballistic Blonde","IPA",245,12
1240,0.051,32,961,"Mac's Scottish Style Amber Ale (2000)","Red Ale",485,12
1244,0.043,18,2209,"Sol Drifter","Blonde Ale",91,12
